User_ID,Age,Gender,City,Annual_Income,Spending_Score,Device_Type,Browser,Session_Duration_Min,Pages_Visited,Product_Category,Purchase_Amount,Payment_Method,Membership_Level,Campaign_Source,Day_of_Week,Cart_Items,Returned
19,47,Female,Bangalore,829082,58,Tablet,Edge,95,25,Home,19516.27,UPI,Platinum,Organic,Tuesday,2,0
20,55,Male,Kolkata,1141357,73,Tablet,Safari,78,11,Home,4286.81,Debit Card,Gold,Referral,Monday,5,0
21,19,Male,Hyderabad,1021145,55,Desktop,Firefox,57,11,Electronics,11265.16,Debit Card,Gold,Email,Wednesday,8,0
22,38,Male,Bangalore,1396439,46,Desktop,Edge,95,8,Fashion,10784.99,Debit Card,Silver,Social Media,Monday,7,0
23,50,Female,Chennai,1326057,97,Mobile,Chrome,33,10,Sports,17375.17,Credit Card,Platinum,Referral,Friday,1,0
24,29,Other,Bangalore,444985,26,Tablet,Chrome,44,29,Electronics,13850.6,COD,Platinum,Referral,Wednesday,8,0
25,39,Male,Ahmedabad,1321823,64,Tablet,Firefox,53,9,Sports,12186.81,Net Banking,Gold,Referral,Monday,0,0
26,42,Male,Mumbai,310295,80,Desktop,Opera,80,10,Electronics,13612.59,Credit Card,Platinum,Referral,Tuesday,2,0
27,44,Female,Pune,773933,9,Desktop,Edge,20,10,Electronics,7850.2,Net Banking,Regular,Social Media,Tuesday,9,0
28,59,Male,Ahmedabad,592435,87,Tablet,Edge,63,18,Beauty,19209.8,UPI,Silver,Social Media,Sunday,9,0
29,45,Other,Ahmedabad,597084,15,Desktop,Safari,51,5,Beauty,1246.75,Net Banking,Regular,Ads,Friday,3,0
30,33,Female,Kolkata,1171041,19,Tablet,Edge,114,5,Beauty,679.67,Net Banking,Regular,Ads,Sunday,4,0
31,32,Male,Delhi,1062028,16,Mobile,Opera,14,7,Electronics,8370.24,UPI,Silver,Social Media,Thursday,6,0
32,20,Male,Pune,598649,25,Mobile,Edge,35,20,Beauty,3176.06,Credit Card,Platinum,Social Media,Friday,2,0
33,54,Female,Hyderabad,611038,99,Mobile,Edge,110,20,Books,10941.53,Credit Card,Platinum,Ads,Monday,5,0
34,24,Female,Delhi,221294,51,Tablet,Safari,113,8,Electronics,279.3,UPI,Regular,Social Media,Friday,7,0
35,38,Male,Hyderabad,1332876,77,Desktop,Chrome,45,17,Beauty,9247.69,Credit Card,Platinum,Email,Wednesday,4,0
36,26,Other,Hyderabad,401168,46,Mobile,Chrome,33,6,Sports,5969.0,COD,Platinum,Email,Saturday,0,0
37,56,Female,Mumbai,1068551,7,Tablet,Opera,61,25,Fashion,4126.97,Wallet,Platinum,Email,Friday,4,0
38,35,Other,Mumbai,1067528,34,Mobile,Firefox,93,13,Beauty,8948.53,Net Banking,Gold,Email,Sunday,2,0
39,21,Male,Ahmedabad,859784,58,Mobile,Firefox,72,13,Home,17105.52,Credit Card,Regular,Referral,Tuesday,3,0
40,42,Other,Chennai,240615,78,Desktop,Safari,53,13,Books,13142.35,Net Banking,Gold,Email,Wednesday,9,0
41,31,Male,Chennai,1275439,23,Tablet,Edge,98,16,Fashion,3282.84,Wallet,Platinum,Ads,Sunday,6,0
42,26,Male,Hyderabad,1278045,23,Desktop,Safari,115,2,Home,10027.57,Wallet,Silver,Referral,Saturday,2,0
43,43,Male,Pune,827389,17,Desktop,Chrome,111,5,Fashion,18640.26,Credit Card,Platinum,Ads,Tuesday,0,0
44,19,Male,Chennai,836901,13,Desktop,Opera,78,10,Beauty,8840.57,Net Banking,Regular,Organic,Saturday,7,0
45,37,Other,Mumbai,681156,27,Mobile,Firefox,78,10,Sports,9463.87,UPI,Regular,Organic,Sunday,3,0
46,45,Male,Chennai,317456,66,Mobile,Edge,50,25,Beauty,18833.02,UPI,Gold,Social Media,Friday,2,1
47,24,Male,Hyderabad,366247,30,Mobile,Firefox,15,11,Books,2802.58,UPI,Regular,Referral,Monday,5,0
48,25,Other,Kolkata,788160,4,Tablet,Chrome,42,28,Electronics,14727.33,COD,Platinum,Email,Friday,9,0
49,52,Female,Delhi,1186831,94,Desktop,Edge,114,20,Home,6053.31,COD,Gold,Organic,Wednesday,3,0
50,31,Other,Pune,383517,67,Mobile,Chrome,20,25,Fashion,17331.24,UPI,Platinum,Referral,Tuesday,6,0
51,34,Other,Pune,1300574,14,Desktop,Firefox,92,24,Sports,1181.81,Net Banking,Platinum,Email,Sunday,6,1
52,53,Other,Bangalore,519138,11,Desktop,Firefox,68,9,Home,19808.99,UPI,Regular,Organic,Friday,2,0
53,57,Male,Ahmedabad,383535,40,Desktop,Chrome,7,13,Sports,15395.32,UPI,Silver,Social Media,Monday,1,0
54,21,Male,Chennai,259895,87,Desktop,Edge,66,13,Home,5758.23,Debit Card,Gold,Ads,Monday,3,0
55,19,Male,Ahmedabad,1192669,96,Desktop,Chrome,73,29,Beauty,15241.03,COD,Platinum,Social Media,Thursday,9,0
56,23,Female,Ahmedabad,1281470,3,Mobile,Edge,23,2,Books,18467.1,COD,Regular,Organic,Saturday,5,0
57,59,Male,Pune,746278,1,Tablet,Safari,36,26,Electronics,2347.06,UPI,Regular,Ads,Saturday,9,0
58,21,Female,Kolkata,1321806,9,Tablet,Safari,12,5,Home,18280.21,UPI,Gold,Organic,Monday,2,1
59,46,Male,Kolkata,369271,73,Tablet,Edge,23,26,Sports,7267.47,Debit Card,Platinum,Organic,Friday,8,0
60,35,Other,Mumbai,663130,76,Tablet,Chrome,95,25,Beauty,228.54,Debit Card,Regular,Email,Monday,9,0
61,43,Male,Delhi,1009985,1,Desktop,Edge,106,5,Fashion,2337.18,COD,Regular,Referral,Monday,6,0
62,51,Female,Mumbai,907647,16,Mobile,Firefox,11,12,Fashion,17707.4,COD,Gold,Ads,Wednesday,5,0
63,27,Female,Chennai,505924,94,Mobile,Chrome,1,20,Books,19655.06,COD,Platinum,Social Media,Monday,3,0
64,53,Male,Hyderabad,1353370,72,Desktop,Edge,77,8,Beauty,17917.9,COD,Gold,Ads,Sunday,3,1
65,31,Other,Kolkata,1330734,46,Desktop,Firefox,39,6,Books,8886.58,Net Banking,Silver,Referral,Friday,3,0
66,48,Male,Kolkata,902800,10,Mobile,Opera,93,18,Fashion,19232.06,UPI,Silver,Referral,Monday,8,0
67,32,Male,Bangalore,1292886,33,Mobile,Firefox,70,8,Sports,8196.32,Net Banking,Gold,Referral,Tuesday,9,0
68,25,Male,Bangalore,1485472,41,Tablet,Edge,31,28,Books,2362.55,Credit Card,Regular,Email,Thursday,2,0
69,31,Other,Kolkata,946958,51,Tablet,Chrome,9,21,Electronics,6884.74,COD,Gold,Organic,Thursday,2,0
70,40,Female,Delhi,900877,22,Tablet,Chrome,56,23,Books,19968.58,COD,Regular,Social Media,Wednesday,6,0
71,57,Other,Pune,756744,16,Mobile,Safari,18,20,Beauty,12556.32,UPI,Silver,Social Media,Friday,2,0
72,38,Female,Pune,655453,83,Tablet,Edge,59,25,Electronics,6865.97,COD,Platinum,Social Media,Saturday,9,1
73,33,Female,Kolkata,946204,75,Mobile,Firefox,67,2,Electronics,12521.16,COD,Gold,Ads,Friday,3,0
74,35,Female,Pune,1333974,62,Mobile,Firefox,96,28,Beauty,8639.8,Net Banking,Platinum,Email,Wednesday,7,0
75,41,Other,Bangalore,1175009,53,Desktop,Edge,109,10,Home,1086.02,Credit Card,Gold,Email,Thursday,4,0
76,43,Male,Hyderabad,404278,75,Mobile,Firefox,3,25,Sports,4102.44,Net Banking,Silver,Social Media,Tuesday,3,1
77,42,Male,Pune,841471,14,Desktop,Opera,109,20,Beauty,482.78,Debit Card,Gold,Social Media,Thursday,4,0
78,58,Male,Ahmedabad,551926,59,Desktop,Safari,30,6,Sports,5170.37,COD,Gold,Referral,Thursday,8,0
79,46,Male,Mumbai,1196806,26,Mobile,Chrome,64,5,Electronics,14817.34,Net Banking,Gold,Ads,Tuesday,2,0
80,32,Male,Kolkata,994755,44,Mobile,Firefox,70,16,Electronics,3947.04,UPI,Platinum,Referral,Thursday,8,0
81,18,Other,Pune,296123,20,Tablet,Opera,114,3,Home,10608.32,Wallet,Gold,Organic,Monday,2,0
82,42,Other,Ahmedabad,1339930,84,Mobile,Edge,91,23,Electronics,14061.91,Credit Card,Silver,Referral,Sunday,7,0
83,24,Other,Hyderabad,654048,5,Tablet,Firefox,2,4,Beauty,11018.78,Wallet,Regular,Organic,Friday,5,0
84,26,Other,Kolkata,1404895,65,Tablet,Edge,20,1,Sports,405.87,Credit Card,Silver,Organic,Thursday,4,0
85,41,Other,Ahmedabad,1463724,11,Mobile,Opera,81,14,Home,7330.51,UPI,Silver,Referral,Tuesday,5,0
86,18,Other,Delhi,1471021,47,Tablet,Opera,97,14,Books,8888.45,UPI,Gold,Social Media,Friday,3,1
87,25,Other,Delhi,470628,10,Desktop,Chrome,81,24,Beauty,6920.79,COD,Silver,Referral,Friday,3,0
88,41,Male,Ahmedabad,361754,61,Desktop,Edge,101,19,Sports,10970.65,Credit Card,Gold,Organic,Thursday,8,0
89,28,Female,Bangalore,327162,92,Mobile,Safari,29,6,Sports,10311.76,UPI,Gold,Email,Thursday,7,0
90,34,Other,Hyderabad,543600,45,Mobile,Chrome,9,12,Fashion,3830.26,Debit Card,Regular,Organic,Sunday,9,0
91,25,Female,Ahmedabad,779178,47,Mobile,Edge,4,18,Fashion,15064.28,Credit Card,Silver,Ads,Thursday,4,0
92,52,Other,Mumbai,737607,34,Desktop,Edge,110,9,Beauty,3307.16,UPI,Silver,Email,Wednesday,5,0
93,52,Other,Hyderabad,710699,13,Tablet,Opera,40,20,Home,9233.41,Net Banking,Gold,Referral,Friday,8,0
94,50,Male,Mumbai,569841,89,Desktop,Opera,55,23,Sports,15150.41,UPI,Gold,Organic,Wednesday,3,0
95,22,Female,Mumbai,326193,23,Tablet,Edge,13,25,Sports,13975.52,Wallet,Regular,Email,Thursday,1,1
96,59,Male,Hyderabad,1124404,36,Tablet,Opera,6,13,Beauty,8700.5,Credit Card,Platinum,Social Media,Tuesday,5,0
97,56,Male,Kolkata,267696,63,Mobile,Edge,110,27,Home,15799.52,Wallet,Gold,Referral,Sunday,8,0
98,58,Female,Chennai,1181759,76,Mobile,Edge,73,19,Books,14303.78,Wallet,Regular,Organic,Thursday,5,0
99,45,Male,Hyderabad,518629,47,Mobile,Chrome,26,13,Electronics,7752.26,COD,Gold,Ads,Thursday,6,0
100,24,Other,Ahmedabad,1370935,66,Desktop,Chrome,113,19,Books,17920.72,Debit Card,Gold,Social Media,Saturday,4,1
101,26,Other,Kolkata,337293,84,Desktop,Safari,103,19,Home,2924.99,UPI,Gold,Ads,Monday,8,0
102,25,Other,Mumbai,225294,80,Desktop,Chrome,41,21,Electronics,7233.79,Credit Card,Platinum,Email,Monday,7,0
103,29,Other,Kolkata,1389686,14,Mobile,Firefox,111,10,Sports,13986.41,UPI,Platinum,Ads,Friday,8,0
104,51,Other,Kolkata,1202691,53,Mobile,Firefox,42,6,Fashion,17472.25,Wallet,Gold,Organic,Friday,0,0
105,50,Male,Pune,909009,66,Tablet,Opera,78,3,Fashion,6519.34,UPI,Silver,Organic,Friday,9,0
106,40,Male,Ahmedabad,1256831,49,Tablet,Firefox,112,26,Beauty,11268.72,Credit Card,Regular,Ads,Sunday,2,0
107,41,Other,Delhi,811752,16,Mobile,Chrome,61,16,Books,335.61,Net Banking,Silver,Email,Wednesday,6,0
108,54,Other,Delhi,641385,68,Desktop,Safari,62,9,Home,7479.77,Credit Card,Silver,Organic,Friday,3,0
109,52,Male,Ahmedabad,1175153,43,Mobile,Edge,98,17,Home,6685.61,Credit Card,Regular,Organic,Saturday,0,0
110,57,Female,Ahmedabad,312848,77,Desktop,Safari,68,23,Electronics,16865.17,COD,Gold,Ads,Sunday,2,0
111,39,Male,Bangalore,1136402,65,Mobile,Chrome,21,27,Beauty,1572.14,UPI,Platinum,Ads,Monday,4,0
112,44,Male,Delhi,905443,9,Mobile,Chrome,31,9,Home,1336.08,UPI,Gold,Email,Friday,6,0
113,52,Male,Chennai,748143,21,Tablet,Chrome,111,5,Beauty,8909.77,Credit Card,Platinum,Social Media,Sunday,0,0
114,18,Male,Mumbai,234758,82,Desktop,Opera,43,19,Electronics,8207.04,Wallet,Gold,Referral,Saturday,5,0
115,52,Male,Hyderabad,449416,96,Desktop,Firefox,21,29,Books,3315.04,Net Banking,Regular,Referral,Sunday,4,0
116,54,Female,Hyderabad,461272,98,Mobile,Chrome,107,15,Sports,5340.55,COD,Silver,Referral,Thursday,8,0
117,31,Other,Chennai,829382,84,Tablet,Edge,29,10,Beauty,19486.47,Net Banking,Silver,Ads,Monday,7,1
118,20,Other,Delhi,991815,43,Mobile,Firefox,55,4,Fashion,10312.33,Net Banking,Silver,Organic,Wednesday,6,0
119,18,Female,Mumbai,1493527,66,Mobile,Firefox,58,24,Sports,1848.28,COD,Silver,Organic,Saturday,3,1
120,22,Other,Delhi,260112,4,Desktop,Opera,24,12,Home,1089.96,Wallet,Regular,Social Media,Wednesday,8,1
121,43,Other,Kolkata,1175390,7,Mobile,Safari,45,14,Books,934.56,Wallet,Silver,Organic,Saturday,2,1
122,31,Other,Bangalore,279486,86,Tablet,Firefox,80,15,Electronics,7841.48,COD,Platinum,Ads,Sunday,2,0
123,56,Female,Delhi,797816,84,Mobile,Firefox,9,19,Electronics,17325.79,Net Banking,Regular,Email,Sunday,9,0
124,44,Female,Bangalore,1144321,58,Tablet,Chrome,85,5,Fashion,16675.04,Wallet,Silver,Email,Sunday,3,0
125,26,Other,Ahmedabad,1429451,99,Desktop,Edge,66,12,Beauty,7420.94,Net Banking,Platinum,Referral,Friday,6,0
126,32,Other,Ahmedabad,1347930,4,Desktop,Chrome,2,3,Fashion,15511.03,Net Banking,Regular,Referral,Sunday,8,0
127,32,Other,Hyderabad,717948,20,Mobile,Edge,37,15,Beauty,15069.74,Wallet,Silver,Email,Wednesday,6,0
128,43,Male,Mumbai,213369,35,Tablet,Firefox,37,15,Fashion,9711.61,UPI,Silver,Referral,Wednesday,4,1
129,59,Male,Pune,1309004,97,Desktop,Edge,69,12,Fashion,8147.31,UPI,Silver,Referral,Monday,6,0
130,30,Male,Kolkata,860404,59,Tablet,Chrome,46,15,Electronics,3692.92,UPI,Regular,Social Media,Sunday,0,0
131,49,Female,Bangalore,265123,85,Desktop,Chrome,6,6,Beauty,5647.54,UPI,Regular,Email,Friday,6,0
132,56,Other,Delhi,1193328,45,Desktop,Safari,48,28,Fashion,6840.04,Wallet,Silver,Social Media,Sunday,0,1
133,49,Female,Ahmedabad,1077346,14,Tablet,Opera,112,17,Books,16273.09,Wallet,Gold,Referral,Saturday,3,0
134,21,Female,Kolkata,338333,95,Tablet,Safari,8,23,Books,11103.76,COD,Regular,Organic,Sunday,2,0
135,47,Female,Delhi,1192839,22,Tablet,Firefox,32,15,Home,4098.2,Credit Card,Platinum,Referral,Friday,1,0
136,54,Other,Kolkata,1448706,48,Desktop,Edge,101,15,Books,2006.97,Wallet,Platinum,Referral,Thursday,7,0
137,40,Male,Hyderabad,1119561,30,Tablet,Chrome,77,11,Books,9983.61,UPI,Gold,Social Media,Friday,0,0
138,56,Other,Chennai,563169,29,Mobile,Chrome,67,22,Books,13359.7,Net Banking,Platinum,Ads,Friday,4,1
139,32,Other,Kolkata,214559,36,Tablet,Chrome,73,12,Electronics,16395.78,Credit Card,Platinum,Ads,Monday,0,0
140,46,Female,Ahmedabad,1243996,42,Desktop,Chrome,68,22,Electronics,15966.56,UPI,Platinum,Organic,Thursday,6,0
141,53,Female,Pune,692461,29,Tablet,Firefox,28,19,Electronics,16500.7,Debit Card,Regular,Referral,Thursday,2,0
142,30,Female,Chennai,241530,7,Tablet,Opera,40,1,Electronics,9012.16,Debit Card,Platinum,Ads,Sunday,5,0
143,49,Male,Ahmedabad,1240579,32,Tablet,Safari,16,16,Fashion,17326.58,COD,Gold,Organic,Friday,6,0
144,24,Male,Delhi,930433,13,Mobile,Safari,57,11,Books,8947.7,Debit Card,Silver,Referral,Sunday,9,0
145,39,Male,Ahmedabad,398250,13,Desktop,Chrome,75,1,Fashion,3445.61,COD,Regular,Email,Tuesday,0,0
146,45,Other,Chennai,1485508,54,Mobile,Chrome,55,23,Books,8007.83,Wallet,Regular,Organic,Thursday,9,0
147,19,Female,Kolkata,1036115,14,Mobile,Edge,83,4,Electronics,6866.5,Wallet,Gold,Ads,Friday,6,0
148,59,Other,Pune,1115838,6,Desktop,Chrome,106,6,Fashion,7904.32,COD,Silver,Referral,Friday,7,0
149,23,Male,Pune,783184,16,Desktop,Safari,86,4,Fashion,13206.52,Wallet,Regular,Organic,Monday,0,0
150,45,Female,Mumbai,1228571,41,Tablet,Edge,39,24,Beauty,13172.64,COD,Silver,Social Media,Sunday,9,1
151,45,Male,Ahmedabad,611217,52,Desktop,Edge,76,28,Home,4575.54,Credit Card,Regular,Organic,Saturday,2,0
152,37,Female,Chennai,1469171,85,Tablet,Chrome,55,25,Beauty,6387.02,Credit Card,Gold,Ads,Thursday,7,1
153,47,Female,Mumbai,785933,16,Mobile,Edge,30,2,Sports,11947.56,Debit Card,Silver,Referral,Sunday,5,0
154,28,Other,Delhi,1318127,5,Tablet,Opera,104,17,Beauty,1774.16,Credit Card,Gold,Email,Thursday,1,1
155,45,Other,Delhi,399570,24,Desktop,Chrome,42,1,Home,13804.42,UPI,Silver,Email,Tuesday,1,0
156,42,Male,Delhi,643280,43,Tablet,Opera,5,13,Home,3659.96,COD,Regular,Organic,Friday,5,1
157,56,Other,Hyderabad,1072422,65,Mobile,Chrome,101,12,Beauty,17029.15,UPI,Regular,Social Media,Sunday,6,0
158,50,Other,Chennai,1254275,10,Desktop,Opera,45,28,Books,8091.59,Credit Card,Platinum,Email,Thursday,2,0
159,18,Other,Bangalore,1123426,59,Desktop,Chrome,64,23,Beauty,4494.04,Wallet,Platinum,Social Media,Sunday,6,0
160,44,Female,Pune,913896,35,Tablet,Safari,32,29,Books,13389.63,Net Banking,Gold,Organic,Saturday,7,0
161,30,Other,Bangalore,1132366,31,Tablet,Chrome,98,2,Sports,11125.21,Credit Card,Platinum,Referral,Wednesday,3,1
162,58,Male,Delhi,1393246,79,Tablet,Safari,12,19,Books,3521.52,COD,Silver,Referral,Thursday,1,0
163,20,Female,Kolkata,660650,11,Mobile,Firefox,107,12,Electronics,16560.5,Net Banking,Gold,Email,Friday,4,0
164,56,Female,Ahmedabad,1468123,9,Mobile,Firefox,66,4,Home,9120.45,Net Banking,Silver,Email,Wednesday,4,0
165,23,Other,Kolkata,355846,66,Desktop,Chrome,111,25,Electronics,3129.67,COD,Regular,Email,Tuesday,9,0
166,25,Female,Chennai,907744,44,Desktop,Safari,52,26,Books,15944.02,Wallet,Platinum,Email,Wednesday,8,0
167,44,Male,Kolkata,1154756,94,Mobile,Safari,71,18,Sports,2755.35,Debit Card,Regular,Organic,Monday,0,1
168,26,Male,Mumbai,814873,16,Tablet,Edge,32,26,Fashion,19363.97,Wallet,Platinum,Social Media,Wednesday,1,0
169,54,Female,Ahmedabad,287420,48,Tablet,Edge,104,2,Fashion,8892.02,Wallet,Regular,Ads,Sunday,4,0
170,50,Other,Ahmedabad,475196,53,Mobile,Opera,35,29,Books,14591.62,Wallet,Platinum,Organic,Wednesday,9,0
171,59,Other,Bangalore,1332150,65,Tablet,Edge,113,1,Electronics,9094.16,Credit Card,Silver,Email,Wednesday,6,0
172,41,Female,Kolkata,1200015,48,Mobile,Chrome,116,24,Beauty,3832.5,Wallet,Regular,Email,Saturday,3,0
173,32,Male,Delhi,854459,70,Tablet,Edge,6,13,Home,15186.47,Wallet,Platinum,Email,Friday,7,0
174,49,Female,Bangalore,431224,46,Tablet,Edge,22,24,Electronics,5858.2,Credit Card,Regular,Ads,Tuesday,6,0
175,49,Other,Bangalore,269915,75,Desktop,Chrome,89,5,Beauty,13680.11,Wallet,Silver,Social Media,Wednesday,3,1
176,41,Other,Pune,395619,33,Tablet,Chrome,47,19,Sports,5221.72,Net Banking,Platinum,Email,Monday,0,1
177,58,Female,Bangalore,534647,52,Tablet,Opera,13,1,Beauty,4898.05,Net Banking,Regular,Referral,Thursday,9,0
178,29,Male,Delhi,819694,81,Mobile,Safari,23,2,Sports,9203.17,COD,Silver,Email,Saturday,5,0
179,56,Female,Pune,1490151,55,Mobile,Edge,109,14,Electronics,16343.16,COD,Regular,Ads,Wednesday,0,0
180,19,Male,Ahmedabad,1072362,51,Mobile,Firefox,44,9,Fashion,12311.3,Debit Card,Silver,Ads,Thursday,6,0
181,20,Male,Delhi,461697,98,Mobile,Safari,110,8,Books,1386.91,Wallet,Platinum,Ads,Thursday,2,1
182,54,Female,Hyderabad,1170504,40,Tablet,Chrome,9,26,Home,14703.91,Net Banking,Gold,Ads,Thursday,6,1
183,34,Female,Ahmedabad,1136069,25,Mobile,Edge,106,11,Electronics,11637.44,Credit Card,Silver,Organic,Saturday,5,0
184,19,Male,Ahmedabad,1110966,63,Desktop,Opera,59,4,Fashion,12508.95,Wallet,Silver,Email,Wednesday,9,1
185,19,Male,Kolkata,1244601,22,Mobile,Firefox,101,29,Sports,7136.21,COD,Regular,Referral,Friday,4,0
186,45,Male,Hyderabad,594048,90,Tablet,Safari,117,3,Home,11167.62,Wallet,Platinum,Organic,Wednesday,6,0
187,40,Male,Kolkata,865545,91,Desktop,Edge,101,5,Beauty,7500.59,UPI,Platinum,Social Media,Saturday,4,0
188,54,Other,Hyderabad,1383140,38,Tablet,Chrome,117,24,Electronics,1721.96,Credit Card,Regular,Organic,Wednesday,9,0
189,49,Female,Bangalore,389310,9,Desktop,Safari,30,14,Beauty,16904.16,Wallet,Regular,Email,Friday,1,0
190,50,Male,Chennai,783147,37,Desktop,Firefox,84,10,Home,13592.73,Net Banking,Platinum,Organic,Tuesday,8,0
191,18,Female,Delhi,1445472,5,Desktop,Chrome,102,6,Electronics,13441.74,COD,Regular,Ads,Saturday,0,0
192,36,Male,Hyderabad,371656,82,Tablet,Firefox,44,10,Electronics,3954.21,Wallet,Gold,Organic,Saturday,9,0
193,19,Female,Ahmedabad,201076,22,Desktop,Edge,49,11,Books,13305.57,COD,Regular,Ads,Saturday,5,1
194,43,Female,Ahmedabad,1413787,12,Tablet,Safari,16,20,Beauty,4717.41,UPI,Gold,Organic,Saturday,9,1
195,49,Male,Chennai,921970,60,Desktop,Opera,114,8,Beauty,13781.94,Debit Card,Regular,Social Media,Friday,9,0
196,23,Male,Hyderabad,1417350,44,Mobile,Edge,86,4,Fashion,6737.26,Credit Card,Silver,Email,Saturday,7,0
197,49,Female,Ahmedabad,986329,22,Mobile,Edge,102,21,Books,3234.52,COD,Platinum,Email,Wednesday,8,0
198,21,Female,Kolkata,359270,6,Desktop,Opera,74,18,Beauty,18134.66,Debit Card,Silver,Organic,Saturday,6,0
199,28,Female,Hyderabad,577014,27,Desktop,Opera,84,26,Sports,2182.54,Wallet,Silver,Ads,Saturday,5,0
200,34,Other,Chennai,717855,55,Mobile,Chrome,53,20,Fashion,15259.58,UPI,Regular,Social Media,Wednesday,0,1
201,55,Male,Hyderabad,1032192,15,Mobile,Firefox,105,26,Beauty,2125.34,Wallet,Platinum,Ads,Friday,9,0
202,41,Other,Bangalore,1437488,64,Tablet,Edge,2,14,Electronics,13725.92,UPI,Gold,Email,Saturday,2,0
203,22,Other,Bangalore,261913,17,Mobile,Chrome,67,26,Beauty,2296.67,Credit Card,Silver,Ads,Monday,8,0
204,51,Male,Pune,535752,3,Tablet,Chrome,42,3,Books,10225.61,Credit Card,Platinum,Social Media,Sunday,8,0
205,23,Male,Bangalore,869312,10,Desktop,Edge,64,12,Home,3841.11,COD,Silver,Social Media,Friday,2,0
206,39,Other,Mumbai,200318,63,Tablet,Firefox,8,15,Fashion,17344.97,COD,Gold,Ads,Sunday,7,0
207,28,Male,Pune,488155,63,Desktop,Opera,73,28,Electronics,8089.54,Credit Card,Gold,Referral,Thursday,2,0
208,33,Female,Hyderabad,480931,89,Tablet,Edge,92,24,Beauty,406.98,Credit Card,Gold,Social Media,Friday,5,0
209,50,Female,Mumbai,574430,62,Tablet,Firefox,21,8,Home,12600.41,Wallet,Silver,Social Media,Monday,2,0
210,26,Other,Delhi,1085464,85,Tablet,Opera,115,14,Fashion,8958.27,COD,Platinum,Referral,Saturday,5,0
211,23,Other,Chennai,564449,9,Desktop,Safari,97,23,Fashion,17208.81,Wallet,Gold,Email,Thursday,3,0
212,33,Male,Delhi,1439498,24,Desktop,Edge,60,6,Fashion,8719.57,COD,Regular,Organic,Sunday,5,0
213,46,Male,Mumbai,572526,32,Tablet,Edge,34,25,Electronics,8281.7,COD,Platinum,Organic,Wednesday,8,0
214,20,Other,Ahmedabad,1346904,3,Desktop,Firefox,116,14,Beauty,9136.45,UPI,Regular,Organic,Tuesday,2,0
215,37,Other,Bangalore,872898,33,Tablet,Chrome,4,4,Electronics,17211.09,Net Banking,Regular,Organic,Friday,5,0
216,53,Female,Kolkata,999089,43,Desktop,Chrome,112,20,Sports,11777.77,Credit Card,Platinum,Email,Friday,2,0
217,36,Female,Hyderabad,281119,12,Tablet,Firefox,117,6,Beauty,13420.31,UPI,Platinum,Referral,Friday,9,0
218,43,Male,Pune,483635,93,Mobile,Edge,89,16,Sports,14436.18,COD,Regular,Social Media,Friday,9,0
